Triệu chứng,4,"Gắn với nỗi đau: ""tiểu buốt"", ""bí tiểu"", ""đau quặn bụng dưới""...",,51 - 70,Khó,4,,200,"2,1",,,,,,,,7. Độ dài từ khóa (Word count),Đánh giá chung từ khóa ngắn và dài.,"Thưởng điểm cho từ khóa dài (Long-tail). Từ khóa >= 4 từ thường thể hiện nhu cầu chi tiết, dễ SEO và dễ chốt lịch khám hơn.","Xây dựng ""Topical Authority"" (Thẩm quyền chủ đề) bằng cách viết các bài viết giải quyết từng câu hỏi ngách (long-tail) của bệnh nhân để hỗ trợ cho từ khóa ngắn."
Thông tin,2,"Gắn với tìm hiểu chung: ""phì đại tuyến tiền liệt là gì"", ""nguyên nhân""...",,71 - 100,Rất khó,2,,300,"2,7",,,,,,,,"Bỏ tư duy ""Traffic đè bẹp"": Đừng đua Volume với các báo mạng hay bách khoa toàn thư Y tế. Hãy tập trung vào Conversion-led SEO (SEO chuyển đổi).
Luật YMYL & E-E-A-T: Bất kỳ nội dung nào được tạo ra từ bộ từ khóa này ĐỀU PHẢI có yếu tố Y khoa chuyên môn (Tên bác sĩ biên tập, nguồn trích dẫn y khoa uy tín) để không bị Google đánh phạt.
Công thức tối thượng: Từ khóa ngách (Dài) + Intent Địa điểm/Chi phí + Tính cấp thiết cao + Volume thấp = BỆNH NHÂN THỰC TẾ.",,,
,,,,,,,,400,"3,4",,,,,,,,,,,
công thức cột tổng điểm = (Điểm volume *10%) + (Điểm intent*50%) + (Điểm KD*40%),,,,,,,,700,"4,2",,,,,,,,,,,
,,,,,,,,1000,5,,,,,,,,,,,
,,,,,,,,1500,6,,,,,,,,,,,
,,,,,,,,2000,7,,,,,,,,,,,
,,,,,,,,3000,8,,,,,,,,,,,
,,,,,,,,5000,9,,,,,,,,,,,
,,,,,,,,8000,10,,,,,,,,,,,
